path,category,subcategory,brand,class_label
static/catalog_demo/Shoes/Oxford/ColeHaan/colehaan_oxford_1.png,Shoes,Oxford,ColeHaan,Shoes/Oxford/ColeHaan
static/catalog_demo/Shoes/Oxford/ColeHaan/colehaan_oxford_2.png,Shoes,Oxford,ColeHaan,Shoes/Oxford/ColeHaan
static/catalog_demo/Shoes/Oxford/Clarks/clarks_oxford_0.png,Shoes,Oxford,Clarks,Shoes/Oxford/Clarks
static/catalog_demo/Shoes/Oxford/Clarks/clarks_oxford_1.png,Shoes,Oxford,Clarks,Shoes/Oxford/Clarks
static/catalog_demo/Shoes/Oxford/Clarks/clarks_oxford_2.png,Shoes,Oxford,Clarks,Shoes/Oxford/Clarks
static/catalog_demo/Slippers/Slip-On/Ugg/ugg_slip-on_0.png,Slippers,Slip-On,Ugg,Slippers/Slip-On/Ugg
static/catalog_demo/Slippers/Slip-On/Ugg/ugg_slip-on_1.png,Slippers,Slip-On,Ugg,Slippers/Slip-On/Ugg
static/catalog_demo/Slippers/Slip-On/Ugg/ugg_slip-on_2.png,Slippers,Slip-On,Ugg,Slippers/Slip-On/Ugg
static/catalog_demo/Slippers/Slip-On/LLBean/llbean_slip-on_0.png,Slippers,Slip-On,LLBean,Slippers/Slip-On/LLBean
static/catalog_demo/Slippers/Slip-On/LLBean/llbean_slip-on_1.png,Slippers,Slip-On,LLBean,Slippers/Slip-On/LLBean
static/catalog_demo/Slippers/Slip-On/LLBean/llbean_slip-on_2.png,Slippers,Slip-On,LLBean,Slippers/Slip-On/LLBean
